modelid;route_id;number_of_repetitions;number_of_successful_routes
1386593711577;1277;10;0
1386593711577;337;10;0
1386593711577;507;10;1
1386593711577;546;10;0
1386593711577;1047;10;1
1386593711577;474;10;1
1386593711577;128;10;0
1386593711577;60;10;2
1386593711577;242;10;7
1386593711577;53;10;3
1386593711577;1074;10;7
1386593711577;714;10;0
1386593711577;872;10;0
1386593711577;1017;10;1
1386593711577;317;10;0
1386593711577;768;10;2
1386593711577;1152;10;6
1386593711577;980;10;1
1386593711577;947;10;4
1386593711577;867;10;4
1386593711577;15;10;2
1386593711577;1096;10;2
1386593711577;642;10;2
1386593711577;704;10;0
1386593711577;857;10;10
1386593711577;392;10;9
1386593711577;694;10;0
1386593711577;443;10;0
1386593711577;733;10;0
1386593711577;628;10;0
1386593711577;888;10;6
1386593711577;1276;10;1
1386593711577;685;10;1
1386593711577;1076;10;8
1386593711577;126;10;2
1386593711577;925;10;0
1386593711577;456;10;1
1386593711577;718;10;1
1386593711577;639;10;6
1386593711577;1107;10;10
1386593711577;722;10;1
1386593711577;905;10;0
1386593711577;691;10;0
1386593711577;345;10;0
1386593711577;323;10;1
1386593711577;598;10;1
1386593711577;191;10;6
1386593711577;936;10;1
1386593711577;649;10;0
1386593711577;817;10;3
1386593711577;596;10;6
1386593711577;426;10;7
1386593711577;807;10;0
1386593711577;461;10;9
1386593711577;868;10;1
1386593711577;1165;10;2
1386593711577;791;10;0
1386593711577;934;10;0
1386593711577;45;10;3
1386593711577;121;10;7
1386593711577;267;10;1
1386593711577;240;10;0
1386593711577;737;10;0
1386593711577;130;10;0
1386593711577;792;10;1
1386593711577;1156;10;2
1386593711577;860;10;5
1386593711577;907;10;3
1386593711577;32;10;5
1386593711577;198;10;0
1386593711577;962;10;3
1386593711577;362;10;4
1386593711577;64;10;1
1386593711577;346;10;5
1386593711577;1104;10;0
1386593711577;584;10;1
1386593711577;417;10;2
1386593711577;294;10;5
1386593711577;225;10;8
1386593711577;503;10;2
1386593711577;174;10;0
1386593711577;615;10;0
1386593711577;213;10;7
1386593711577;222;10;3
1386593711577;380;10;7
1386593711577;799;10;7
1386593711577;593;10;1
1386593711577;770;10;2
1386593711577;1196;10;3
1386593711577;258;10;0
1386593711577;604;10;3
1386593711577;104;10;0
1386593711577;1167;10;4
1386593711577;1069;10;0
1386593711577;217;10;0
1386593711577;728;10;3
1386593711577;774;10;1
1386593711577;949;10;1
1386593711577;629;10;1
1386593711577;731;10;1
1386593711577;48;10;4
1386593711577;223;10;4
1386593711577;877;10;0
1386593711577;341;10;4
1386593711577;1034;10;6
1386593711577;501;10;0
1386593711577;74;10;0
1386593711577;224;10;3
1386593711577;681;10;1
1386593711577;1150;10;5
1386593711577;679;10;0
1386593711577;648;10;3
1386593711577;831;10;0
1386593711577;709;10;0
1386593711577;44;10;7
1386593711577;459;10;3
1386593711577;315;10;2
1386593711577;830;10;4
1386593711577;664;10;1
1386593711577;753;10;5
1386593711577;293;10;2
1386593711577;1007;10;2
1386593711577;1252;10;5
1386593711577;901;10;0
1386593711577;1139;10;1
1386593711577;832;10;2
1386593711577;836;10;4
1386593711577;647;10;3
1386593711577;946;10;1
1386593711577;253;10;0
1386593711577;814;10;6
1386593711577;693;10;0
1386593711577;51;10;0
1386593711577;96;10;0
1386593711577;488;10;0
1386593711577;611;10;0
1386593711577;1264;10;0
1386593711577;1188;10;7
1386593711577;177;10;5
1386593711577;447;10;0
1386593711577;873;10;0
1386593711577;483;10;0
1386593711577;1092;10;1
1386593711577;1015;10;0
1386593711577;1203;10;0
1386593711577;70;10;3
1386593711577;391;10;10
1386593711577;1144;10;5
1386593711577;283;10;5
1386593711577;1262;10;1
1386593711577;1234;10;0
1386593711577;956;10;0
1386593711577;30;10;2
1386593711577;1050;10;6
1386593711577;180;10;7
1386593711577;470;10;1
1386593711577;845;10;8
1386593711577;238;10;3
1386593711577;1255;10;1
1386593711577;1227;10;5
1386593711577;176;10;6
1386593711577;1163;10;0
1386593711577;1278;10;2
1386593711577;697;10;8
1386593711577;1070;10;1
1386593711577;1063;10;1
1386593711577;1193;10;4
1386593711577;1169;10;5
1386593711577;154;10;0
1386593711577;842;10;6
1386593711577;558;10;5
1386593711577;482;10;1
1386593711577;327;10;0
1386593711577;1035;10;1
1386593711577;984;10;0
1386593711577;282;10;3
1386593711577;1039;10;0
1386593711577;819;10;6
1386593711577;771;10;4
1386593711577;995;10;5
1386593711577;1027;10;5
1386593711577;804;10;2
1386593711577;917;10;1
1386593711577;166;10;0
1386593711577;837;10;3
1386593711577;219;10;0
1386593711577;1267;10;6
1386593711577;515;10;0
1386593711577;739;10;6
1386593711577;655;10;4
1386593711577;533;10;4
1386593711577;84;10;2
1386593711577;937;10;2
1386593711577;950;10;5
1386593711577;457;10;2
1386593711577;115;10;9
1386593711577;945;10;1
1386593711577;132;10;0
1386593711577;494;10;2
1386593711577;708;10;0
1386593711577;972;10;4
1386593711577;326;10;2
1386593711577;435;10;6
1386593711577;42;10;0
1386593711577;77;10;6
1386593711577;856;10;4
1386593711577;66;10;0
1386593711577;1044;10;8
1386593711577;1084;10;3
1386593711577;1111;10;3
1386593711577;71;10;5
1386593711577;1140;10;2
1386593711577;808;10;2
1386593711577;957;10;1
1386593711577;882;10;0
1386593711577;865;10;6
1386593711577;758;10;2
1386593711577;666;10;1
1386593711577;1153;10;0
1386593711577;205;10;7
1386593711577;301;10;2
1386593711577;1129;10;1
1386593711577;221;10;0
1386593711577;502;10;0
1386593711577;266;10;2
1386593711577;1244;10;1
1386593711577;1088;10;0
1386593711577;92;10;0
1386593711577;1221;10;1
1386593711577;316;10;4
1386593711577;1159;10;1
1386593711577;682;10;5
1386593711577;466;10;0
1386593711577;1250;10;9
1386593711577;444;10;0
1386593711577;342;10;0
1386593711577;416;10;7
1386593711577;734;10;5
1386593711577;1212;10;0
1386593711577;772;10;6
1386593711577;843;10;4
1386593711577;913;10;1
1386593711577;1090;10;0
1386593711577;54;10;1
1386593711577;1146;10;2
1386593711577;430;10;1
1386593711577;385;10;0
1386593711577;145;10;3
1386593711577;420;10;4
1386593711577;1061;10;1
1386593711577;239;10;3
1386593711577;513;10;3
1386593711577;215;10;2
1386593711577;25;10;2
1386593711577;1223;10;0
1386593711577;1143;10;3
1386593711577;671;10;3
1386593711577;348;10;3
1386593711577;372;10;1
1386593711577;59;10;1
1386593711577;740;10;0
1386593711577;1160;10;10
1386593711577;91;10;0
1386593711577;1099;10;6
1386593711577;1005;10;3
1386593711577;535;10;1
1386593711577;578;10;3
1386593711577;86;10;3
1386593711577;841;10;0
1386593711577;1108;10;1
1386593711577;668;10;3
1386593711577;524;10;1
1386593711577;859;10;2
1386593711577;178;10;7
1386593711577;150;10;10
1386593711577;38;10;1
1386593711577;256;10;5
1386593711577;703;10;3
1386593711577;281;10;7
1386593711577;340;10;4
1386593711577;1037;10;5
1386593711577;833;10;1
1386593711577;1171;10;1
1386593711577;735;10;3
1386593711577;90;10;0
1386593711577;1177;10;5
1386593711577;226;10;1
1386593711577;302;10;2
1386593711577;95;10;1
1386593711577;462;10;5
1386593711577;552;10;0
1386593711577;344;10;0
1386593711577;608;10;3
1386593711577;643;10;5
1386593711577;493;10;1
1386593711577;492;10;6
1386593711577;827;10;1
